series_id,dataset,sector,indicator,observations,latest_observation,ready,quality,reason
semi_eps,Fundamental,반도체/IT,EPS 수정,4,2026-08-20,True,proxy-public,sector EPS observations=4; 3 required
auto_inventory,Fundamental,자동차,재고·days supply,3,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=3; 3 required for direction
auto_incentive,Fundamental,자동차,인센티브/할인,4,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=4; 3 required for direction
auto_asp_mix,Fundamental,자동차,ASP·SUV·HEV·EV 믹스,3,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=3; 3 required for direction
auto_sales_orders,Fundamental,자동차,글로벌 판매/주문·백로그,6,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=6; 3 required for direction
auto_eps,Fundamental,자동차,EPS 수정,4,2026-09-03,True,proxy-public,sector EPS observations=4; 3 required
battery_ev_sales,Fundamental,2차전지,글로벌 EV 판매,3,2026-06-30,True,direct-or-standardized-proxy,matched native/proxy observations=3; 3 required for direction
battery_install,Fundamental,2차전지,배터리 설치량/출하량,4,2026-06-30,True,direct-or-standardized-proxy,matched native/proxy observations=4; 3 required for direction
battery_util,Fundamental,2차전지,셀·소재 가동률,5,2026-06-30,True,direct-or-standardized-proxy,matched native/proxy observations=5; 3 required for direction
battery_customer_inventory,Fundamental,2차전지,고객사/유통재고 대체지표,3,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=3; 3 required for direction
battery_cell_price_margin,Fundamental,2차전지,셀 시장가격·원재료 대비 마진,6,2026-08-07,True,direct-or-standardized-proxy,matched native/proxy observations=6; 3 required for direction
bio_rx_share,Fundamental,바이오·헬스케어,처방량/시장점유율,5,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=5; 3 required for direction
bio_sales_volume,Fundamental,바이오·헬스케어,바이오시밀러·신약 판매량,3,2026-06-30,True,direct-or-standardized-proxy,matched native/proxy observations=3; 3 required for direction
bio_orders,Fundamental,바이오·헬스케어,CDMO/기술이전 신규수주·수주잔고,2,2026-06-30,False,partial,matched native/proxy observations=2; 3 required for direction
bio_approval,Fundamental,바이오·헬스케어,FDA/EMA/식약처 허가·임상,6,2026-06-30,True,direct-or-standardized-proxy,matched native/proxy observations=6; 3 required for direction
bio_eps,Fundamental,바이오·헬스케어,EPS 수정,3,2026-07-30,True,proxy-public,sector EPS observations=3; 3 required
fin_nim,Fundamental,금융,NIM,2,2026-06-30,False,partial,matched native/proxy observations=2; 3 required for direction
fin_loans,Fundamental,금융,대출성장률·대출믹스,2,2026-06-30,False,partial,matched native/proxy observations=2; 3 required for direction
fin_npl,Fundamental,금융,연체율/NPL,3,2026-06-30,True,direct-or-standardized-proxy,matched native/proxy observations=3; 3 required for direction
fin_credit_cost,Fundamental,금융,대손비용률/충당금,2,2026-06-30,False,partial,matched native/proxy observations=2; 3 required for direction
fin_eps,Fundamental,금융,EPS 수정,3,2026-07-30,True,proxy-public,sector EPS observations=3; 3 required
ship_price,Fundamental,조선·기계,신조선가,1,2026-08-31,False,partial,matched native/proxy observations=1; 3 required for direction
ship_orders,Fundamental,조선·기계,글로벌 신규수주,1,2026-08-31,False,partial,matched native/proxy observations=1; 3 required for direction
ship_backlog,Fundamental,조선·기계,수주잔고/매출,3,2026-03-31,True,direct-or-standardized-proxy,matched native/proxy observations=3; 3 required for direction
ship_mix,Fundamental,조선·기계,선종믹스,2,2026-06-30,False,partial,matched native/proxy observations=2; 3 required for direction
ship_eps,Fundamental,조선·기계,EPS 수정,3,2026-09-03,True,proxy-public,sector EPS observations=3; 3 required
steel_product_price,Fundamental,철강·소재,주요 철강제품가격,9,2026-08-31,True,direct-or-standardized-proxy,matched native/proxy observations=9; 3 required for direction
steel_rawmat,Fundamental,철강·소재,철광석·원료탄·스크랩,1,2026-08-21,False,partial,matched native/proxy observations=1; 3 required for direction
steel_spread,Fundamental,철강·소재,제품-원재료 스프레드,0,,False,partial,matched native/proxy observations=0; 3 required for direction
steel_inventory,Fundamental,철강·소재,중국 완제품/유통재고,0,,False,partial,matched native/proxy observations=0; 3 required for direction
steel_output,Fundamental,철강·소재,중국 생산·가동률/감산,1,2026-09-04,False,partial,matched native/proxy observations=1; 3 required for direction
cons_volume,Fundamental,소비재,판매량/트래픽,4,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=4; 3 required for direction
cons_ticket,Fundamental,소비재,객단가·ASP,4,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=4; 3 required for direction
cons_inventory,Fundamental,소비재,재고/재고회전 대체지표,0,,False,partial,matched native/proxy observations=0; 3 required for direction
cons_promo,Fundamental,소비재,프로모션 강도 대체지표,0,,False,partial,matched native/proxy observations=0; 3 required for direction
cons_margin,Fundamental,소비재,원재료·물류비 대비 마진스프레드,0,,False,partial,matched native/proxy observations=0; 3 required for direction
plat_mau,Fundamental,미디어·플랫폼,MAU/DAU/트래픽,2,2026-08-31,False,partial,matched native/proxy observations=2; 3 required for direction
plat_ads,Fundamental,미디어·플랫폼,광고단가·광고주수요,1,2026-06-30,False,partial,matched native/proxy observations=1; 3 required for direction
plat_gmv,Fundamental,미디어·플랫폼,커머스 GMV,4,2026-06-30,True,direct-or-standardized-proxy,matched native/proxy observations=4; 3 required for direction
plat_monetize,Fundamental,미디어·플랫폼,ARPU·take rate 대체지표,2,2026-06-30,False,partial,matched native/proxy observations=2; 3 required for direction
plat_eps,Fundamental,미디어·플랫폼,EPS 수정,3,2026-07-09,True,proxy-public,sector EPS observations=3; 3 required
const_demand,Fundamental,건설·인프라,분양률/청약경쟁률,3,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=3; 3 required for direction
const_unsold,Fundamental,건설·인프라,미분양·준공후미분양,6,2026-07-31,True,direct-or-standardized-proxy,matched native/proxy observations=6; 3 required for direction
const_orders,Fundamental,건설·인프라,신규수주/수주잔고,0,,False,partial,matched native/proxy observations=0; 3 required for direction
const_pf,Fundamental,건설·인프라,PF금리·연체/자금조달,0,,False,partial,matched native/proxy observations=0; 3 required for direction
const_cost,Fundamental,건설·인프라,원가율/공사비,0,,False,partial,matched native/proxy observations=0; 3 required for direction
macro_us2y,Macro_Market,방어자산,미국2년 국채금리,253,2026-09-03,True,direct/official-or-market,253 stored observations; 90 required for 3-month direction
macro_us10y,Macro_Market,방어자산,미국10년 국채금리,253,2026-09-03,True,direct/official-or-market,253 stored observations; 90 required for 3-month direction
macro_us30y,Macro_Market,방어자산,미국30년 국채금리,253,2026-09-03,True,direct/official-or-market,253 stored observations; 90 required for 3-month direction
macro_kr3y,Macro_Market,방어자산,한국 국고3년,6,2026-09-04,False,direct/official-or-market,6 stored observations; 65 required for 3-month direction
macro_kr10y,Macro_Market,방어자산,한국 국고10년,6,2026-09-04,False,direct/official-or-market,6 stored observations; 65 required for 3-month direction
macro_real10y,Macro_Market,방어자산,미국 10년 실질금리,253,2026-09-03,True,direct/official-or-market,253 stored observations; 90 required for 3-month direction
macro_usdkrw,Macro_Market,방어자산,USDKRW,264,2026-09-05,True,direct/official-or-market,264 stored observations; 90 required for 3-month direction
macro_dxy,Macro_Market,방어자산,DXY,255,2026-09-04,True,direct/official-or-market,255 stored observations; 90 required for 3-month direction
macro_gold,Macro_Market,방어자산,금 가격,255,2026-09-04,True,direct/official-or-market,255 stored observations; 90 required for 3-month direction
macro_kofr,Macro_Market,방어자산,KOFR,2,2026-09-04,False,proxy,2 stored observations; 65 required for 3-month direction
macro_cd91,Macro_Market,방어자산,CD91일,7,2026-09-04,False,direct/official-or-market,7 stored observations; 65 required for 3-month direction
account_snapshots,Account_Snapshots,계좌,보유수량·평가액·현금·분배금·납입·거래,0,,True,private-archive,intentionally excluded from public GitHub; managed in private ChatGPT Archive
derived_weekly,Derived_Weekly,전섹터,M21/M63/M126/RS/slope/accel/score/stage/state,1200,2026-09-04,True,price-derived-core,price/RS/HAA/breadth inputs present; final 60/40 scoring still depends on fundamental gates
